Net_arch,Hyperpar,AE_S1_WMAPE,AE_S1_Time,AE_C2_WMAPE,AE_C2_Time,BL,AE_S4_WMAPE,AE_S4_Time,AE_C3_WMAPE,AE_C3_Time
M2_DNN,dH1,N/A,N/A,1.0000,66.0,N/A,,,,
M2_DNN,dH2,N/A,N/A,10.4348,54.1,N/A,,,,
M2_DNN,dH3,N/A,N/A,262.3340,58.0,N/A,,,,
M2_DNN,dH4,N/A,N/A,1.0000,80.9,N/A,,,,
M2_DNN,dH5,N/A,N/A,0.9292,298.7,N/A,,,,
M2_CNN,cH1,N/A,N/A,0.4804,69.2,N/A,,,,
M2_CNN,cH2,N/A,N/A,0.4343,114.5,N/A,,,,
M2_CNN,cH3,N/A,N/A,0.9059,78.4,N/A,,,,
M2_CNN,cH4,N/A,N/A,0.5615,161.2,N/A,,,,
M2_CNN,cH5,N/A,N/A,0.6190,596.9,N/A,,,,
M2_DNN,dH1,,,,,0.7778,2.1758,23.6,9.8752,27.8
M2_DNN,dH2,,,,,0.7778,26.8888,25.0,0.9980,27.9
M2_DNN,dH3,,,,,0.7778,1.0052,17.8,144.0061,37.2
M2_DNN,dH4,,,,,0.7778,5155.6872,30.0,46.8996,50.9
M2_DNN,dH5,,,,,0.7778,67573.7667,22.6,17245.2356,85.9
M2_CNN,cH1,,,,,0.7778,0.6956,46.5,0.7519,50.1
M2_CNN,cH2,,,,,0.7778,0.6553,44.7,0.7456,41.1
M2_CNN,cH3,,,,,0.7778,0.5642,37.7,0.6202,42.4
M2_CNN,cH4,,,,,0.7778,0.7770,43.7,0.7009,68.7
M2_CNN,cH5,,,,,0.7778,0.8609,73.4,0.6946,311.9
