Net_arch,Hyperpar,AE_S4_WMAPE,AE_S4_Time,AE_C3_WMAPE,AE_C3_Time,BL
M2_DNN,dH1,2.1758,23.6,9.8752,27.8,0.7778
M2_DNN,dH2,26.8888,25.0,0.9980,27.9,0.7778
M2_DNN,dH3,1.0052,17.8,144.0061,37.2,0.7778
M2_DNN,dH4,5155.6872,30.0,46.8996,50.9,0.7778
M2_DNN,dH5,67573.7667,22.6,17245.2356,85.9,0.7778
M2_CNN,cH1,0.6956,46.5,0.7519,50.1,0.7778
M2_CNN,cH2,0.6553,44.7,0.7456,41.1,0.7778
M2_CNN,cH3,0.5642,37.7,0.6202,42.4,0.7778
M2_CNN,cH4,0.7770,43.7,0.7009,68.7,0.7778
M2_CNN,cH5,0.8609,73.4,0.6946,311.9,0.7778
